lmr_id,fy_qtr,cat_type,category,subcategory,netsales,litres,created_at
6562,FY2018Q2,Wine,Greece Wine,Greece Red Wine,95905,7523,2025-06-17T02:36:14Z
6567,FY2018Q2,Wine,Greece Wine,Greece Rose Wine,0,0,2025-06-17T02:36:14Z
6572,FY2018Q2,Wine,Greece Wine,Greece White Wine,117889,10042,2025-06-17T02:36:14Z
6577,FY2018Q2,Wine,Hungary Wine,Hungary Fruit and Dessert Wine,20967,526,2025-06-17T02:36:14Z
6582,FY2018Q2,Wine,Hungary Wine,Hungary Red Wine,34037,2784,2025-06-17T02:36:14Z
6587,FY2018Q2,Wine,Hungary Wine,Hungary Sparkling Wine,65060,5349,2025-06-17T02:36:14Z
6592,FY2018Q2,Wine,Hungary Wine,Hungary White Wine,122814,11674,2025-06-17T02:36:14Z
6597,FY2018Q2,Wine,Israel Wine,Israel Red Wine,33450,1781,2025-06-17T02:36:14Z
6602,FY2018Q2,Wine,Israel Wine,Israel Rose Wine,4074,233,2025-06-17T02:36:14Z
6607,FY2018Q2,Wine,Israel Wine,Israel White Wine,18523,1005,2025-06-17T02:36:14Z
6612,FY2018Q2,Wine,Italy Wine,Italy Fruit and Dessert Wine,5102,105,2025-06-17T02:36:14Z
6617,FY2018Q2,Wine,Italy Wine,Italy Red Wine,10016746,557610,2025-06-17T02:36:14Z
6622,FY2018Q2,Wine,Italy Wine,Italy Rose Wine,218444,13952,2025-06-17T02:36:14Z
6627,FY2018Q2,Wine,Italy Wine,Italy Sparkling Wine,1700503,97069,2025-06-17T02:36:14Z
6632,FY2018Q2,Wine,Italy Wine,Italy White Wine,5518988,418066,2025-06-17T02:36:14Z
6637,FY2018Q2,Wine,Italy Wine,Prosecco Wine,4309243,225737,2025-06-17T02:36:14Z
6642,FY2018Q2,Wine,New Zealand Wine,New Zealand Fruit and Dessert Wine,0,0,2025-06-17T02:36:14Z
6647,FY2018Q2,Wine,New Zealand Wine,New Zealand Red Wine,630126,29037,2025-06-17T02:36:14Z
6652,FY2018Q2,Wine,New Zealand Wine,New Zealand Rose Wine,440146,24218,2025-06-17T02:36:14Z
6657,FY2018Q2,Wine,New Zealand Wine,New Zealand Sparkling Wine,123331,5620,2025-06-17T02:36:14Z
6662,FY2018Q2,Wine,New Zealand Wine,New Zealand White Wine,10653091,592230,2025-06-17T02:36:14Z
6667,FY2018Q2,Wine,Other Country Wine,Other Country Fruit and Dessert Wine,217377,14550,2025-06-17T02:36:14Z
6672,FY2018Q2,Wine,Other Country Wine,Other Country Red Wine,113602,5600,2025-06-17T02:36:14Z
6677,FY2018Q2,Wine,Other Country Wine,Other Country Rose Wine,4391,202,2025-06-17T02:36:14Z
6682,FY2018Q2,Wine,Other Country Wine,Other Country Sparkling Wine,27352,842,2025-06-17T02:36:14Z
6687,FY2018Q2,Wine,Other Country Wine,Other Country White Wine,68691,3440,2025-06-17T02:36:14Z
6692,FY2018Q2,Wine,Other Style Wine,Aperitif And Flavoured Wine,178691,13257,2025-06-17T02:36:14Z
6697,FY2018Q2,Wine,Other Style Wine,Mead,70687,2681,2025-06-17T02:36:14Z
6702,FY2018Q2,Wine,Other Style Wine,Rice Wine,45912,3384,2025-06-17T02:36:14Z
6707,FY2018Q2,Wine,Portugal Wine,Portugal Fruit and Dessert Wine,606,22,2025-06-17T02:36:14Z
6712,FY2018Q2,Wine,Portugal Wine,Portugal Red Wine,662261,51569,2025-06-17T02:36:14Z
6717,FY2018Q2,Wine,Portugal Wine,Portugal Rose Wine,314650,29898,2025-06-17T02:36:14Z
6722,FY2018Q2,Wine,Portugal Wine,Portugal Sparkling Wine,8340,337,2025-06-17T02:36:14Z
6727,FY2018Q2,Wine,Portugal Wine,Portugal White Wine,547365,48218,2025-06-17T02:36:14Z
6732,FY2018Q2,Wine,Sake,Japan Sake,1213363,39266,2025-06-17T02:36:14Z
6737,FY2018Q2,Wine,Sake,Other Country Sake,90238,3458,2025-06-17T02:36:14Z
6742,FY2018Q2,Wine,Sake,USA Sake,676502,78290,2025-06-17T02:36:14Z
6747,FY2018Q2,Wine,South Africa Wine,South Africa Fruit and Dessert Wine,0,0,2025-06-17T02:36:14Z
6752,FY2018Q2,Wine,South Africa Wine,South Africa Red Wine,1379310,115798,2025-06-17T02:36:14Z
6757,FY2018Q2,Wine,South Africa Wine,South Africa Rose Wine,79090,6252,2025-06-17T02:36:14Z
6762,FY2018Q2,Wine,South Africa Wine,South Africa Sparkling Wine,35012,2434,2025-06-17T02:36:14Z
6767,FY2018Q2,Wine,South Africa Wine,South Africa White Wine,1190408,113879,2025-06-17T02:36:14Z
6772,FY2018Q2,Wine,Spain Wine,Spain Fruit and Dessert Wine,11511,322,2025-06-17T02:36:14Z
6777,FY2018Q2,Wine,Spain Wine,Spain Red Wine,4578707,373347,2025-06-17T02:36:14Z
6782,FY2018Q2,Wine,Spain Wine,Spain Rose Wine,225802,16671,2025-06-17T02:36:14Z
6787,FY2018Q2,Wine,Spain Wine,Spain Sparkling Wine,1153954,69638,2025-06-17T02:36:14Z
6792,FY2018Q2,Wine,Spain Wine,Spain White Wine,531288,55040,2025-06-17T02:36:14Z
6797,FY2018Q2,Wine,USA Wine,USA Fruit and Dessert Wine,4370,310,2025-06-17T02:36:14Z
6802,FY2018Q2,Wine,USA Wine,USA Red Wine,19308394,999868,2025-06-17T02:36:14Z
6807,FY2018Q2,Wine,USA Wine,USA Rose Wine,1355926,149953,2025-06-17T02:36:14Z
6812,FY2018Q2,Wine,USA Wine,USA Sparkling Wine,368465,23125,2025-06-17T02:36:14Z
6817,FY2018Q2,Wine,USA Wine,USA White Wine,7448392,540421,2025-06-17T02:36:14Z
6822,FY2018Q3,Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,138140956,40459553,2025-06-17T02:36:14Z
6827,FY2018Q3,Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,29420474,6375735,2025-06-17T02:36:14Z
6832,FY2018Q3,Beer,Domestic - BC Beer,Domestic - BC Regional Beer,36914694,10072090,2025-06-17T02:36:14Z
6837,FY2018Q3,Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,11884564,3306137,2025-06-17T02:36:14Z
6842,FY2018Q3,Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,274542,37382,2025-06-17T02:36:14Z
6847,FY2018Q3,Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,2245752,574596,2025-06-17T02:36:14Z
6852,FY2018Q3,Beer,Import Beer,Asia And South Pacific Beer,1470250,302512,2025-06-17T02:36:14Z
6857,FY2018Q3,Beer,Import Beer,Europe Beer,27697258,6104411,2025-06-17T02:36:14Z
6862,FY2018Q3,Beer,Import Beer,Mexico And Caribbean Beer,8394199,1587782,2025-06-17T02:36:14Z
6867,FY2018Q3,Beer,Import Beer,Other Country Beer,98138,21937,2025-06-17T02:36:14Z
6872,FY2018Q3,Beer,Import Beer,USA Beer,11588081,2713354,2025-06-17T02:36:14Z
6877,FY2018Q3,Refreshment Beverages,Cider,Domestic Cider,11962999,3144528,2025-06-17T02:36:14Z
6882,FY2018Q3,Refreshment Beverages,Cider,Import Cider,3950922,857410,2025-06-17T02:36:14Z
6887,FY2018Q3,Refreshment Beverages,Coolers,Malt-Based Coolers,2021028,451459,2025-06-17T02:36:14Z
6892,FY2018Q3,Refreshment Beverages,Coolers,Spirit Coolers,19784910,4458639,2025-06-17T02:36:14Z
6897,FY2018Q3,Refreshment Beverages,Coolers,Wine/Fruit Coolers,581944,109093,2025-06-17T02:36:14Z
6902,FY2018Q3,Spirits,Asian Spirits,China Spirits,896516,13134,2025-06-17T02:36:14Z
6907,FY2018Q3,Spirits,Asian Spirits,Korea Spirits,883823,49034,2025-06-17T02:36:14Z
6912,FY2018Q3,Spirits,Asian Spirits,Other Country Asian Spirits,77564,2075,2025-06-17T02:36:14Z
6917,FY2018Q3,Spirits,Gin,Dry Gin,10956067,394539,2025-06-17T02:36:14Z
6922,FY2018Q3,Spirits,Gin,Flavoured Gin,270191,8484,2025-06-17T02:36:14Z
6927,FY2018Q3,Spirits,Gin,Other Gin,159835,2979,2025-06-17T02:36:14Z
6932,FY2018Q3,Spirits,Grape and Fruit Brandy,Armagnac,69645,713,2025-06-17T02:36:14Z
6937,FY2018Q3,Spirits,Grape and Fruit Brandy,Brandy,3293224,134631,2025-06-17T02:36:14Z
6942,FY2018Q3,Spirits,Grape and Fruit Brandy,Cognac,3411818,33081,2025-06-17T02:36:14Z
6947,FY2018Q3,Spirits,Grape and Fruit Brandy,Eau de Vie,370897,8252,2025-06-17T02:36:14Z
6952,FY2018Q3,Spirits,Grape and Fruit Brandy,Grappa And Marc,106539,1943,2025-06-17T02:36:14Z
6957,FY2018Q3,Spirits,Grape and Fruit Brandy,Pisco,91887,2361,2025-06-17T02:36:14Z
6962,FY2018Q3,Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,8258949,295236,2025-06-17T02:36:14Z
6967,FY2018Q3,Spirits,Liqueurs,Coffee And Cocoa Liqueurs,3264962,132191,2025-06-17T02:36:14Z
6972,FY2018Q3,Spirits,Liqueurs,Cream/Dairy Liqueurs,18315548,750012,2025-06-17T02:36:14Z
6977,FY2018Q3,Spirits,Liqueurs,Fruit Liqueurs,5184672,174995,2025-06-17T02:36:14Z
6982,FY2018Q3,Spirits,Liqueurs,Nut Liqueurs,1849159,73278,2025-06-17T02:36:14Z
6987,FY2018Q3,Spirits,Liqueurs,Other Liqueurs,850391,31759,2025-06-17T02:36:14Z
6992,FY2018Q3,Spirits,Liqueurs,Whiskey Liqueurs,2220169,70516,2025-06-17T02:36:14Z
6997,FY2018Q3,Spirits,Other Spirits,Cachaca,33367,1032,2025-06-17T02:36:14Z
7002,FY2018Q3,Spirits,Other Spirits,Flavoured Spirits,888586,19130,2025-06-17T02:36:14Z
7007,FY2018Q3,Spirits,Other Spirits,Miscellaneous/Other Spirits,550079,11418,2025-06-17T02:36:14Z
7012,FY2018Q3,Spirits,Other Spirits,Moonshine Spirits,264768,6417,2025-06-17T02:36:14Z
7017,FY2018Q3,Spirits,Other Spirits,Ready to Mix Cocktails,564976,27591,2025-06-17T02:36:14Z
7022,FY2018Q3,Spirits,Other Spirits,Ready to Serve Cocktails,815942,28228,2025-06-17T02:36:14Z
7027,FY2018Q3,Spirits,Other Spirits,Schnapps and Akvavit,88231,2220,2025-06-17T02:36:14Z
7032,FY2018Q3,Spirits,Rum,Amber Rum,7917532,296165,2025-06-17T02:36:14Z
7037,FY2018Q3,Spirits,Rum,Dark Rum,4266712,165587,2025-06-17T02:36:14Z
7042,FY2018Q3,Spirits,Rum,Flavoured Rum,235323,9530,2025-06-17T02:36:14Z
7047,FY2018Q3,Spirits,Rum,Spiced Rum,12417183,446494,2025-06-17T02:36:14Z
7052,FY2018Q3,Spirits,Rum,White Rum,9195895,383599,2025-06-17T02:36:14Z
7057,FY2018Q3,Spirits,Tequila,Blanco/Silver Tequila,2597235,65490,2025-06-17T02:36:14Z
7062,FY2018Q3,Spirits,Tequila,Flavoured Tequila,95238,2458,2025-06-17T02:36:14Z
